Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",4,4.29,Grand Central Publishing,ebook,336,2021,2018,2023/09/17,2023/01/21,,,read,,,,1,0
42392875,"Yo, Julia (Julia Domna, #1)",Santiago Posteguillo,"Posteguillo, Santiago",,"=""8408197401""","=""9788408197409""",4,4.34,Editorial Planeta,Hardcover,704,2018,2018,2023/07/29,2023/01/21,,,read,,,,1,0
62822619,Las huellas del mal,Federico Andahazi,"Andahazi, Federico",,"=""9502815319""","=""9789502815312""",3,3.46,Grijalbo,Paperback,192,2022,,2023/06/10,2023/06/02,,,read,Fácil de leer y atrapante pero esperaba más ,,,1,0
11566,The Green Mile,Stephen  King,"King, Stephen",,"=""0451933028""","=""9780451933027""",4,4.49,Penguin Signet,Paperback,592,1996,1996,2023/05/25,2023/01/21,,,read,,,,1,0
57933338,Violeta,Isabel Allende,"Allende, Isabel",Frances Riddle,"=""0593496205""","=""9780593496206""",4,4.03,Ballantine Books,Paperback,322,2022,2022,2023/03/18,2023/01/21,,,read,,,,2,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.37,G.P. Putnam’s Sons,ebook,384,2018,2018,,2023/01/25,to-read,to-read (#2),to-read,,,,0,0
41060847,Teoría King Kong,Virginie Despentes,"Despentes, Virginie",,"=""9877690098""","=""9789877690095""",3,4.00,UHF,Paperback,176,,2006,2020/01/31,2023/01/21,,,read,,,,1,0
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.39,Washington Square Press,Kindle Edition,434,2017,2017,2022/05/29,2023/01/21,,,read,One of my 2022 favorites ,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",4,4.30,Ecco,Paperback,408,2012,2011,2022/08/09,2023/01/21,,,read,Loved it ,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1948,,2023/01/21,currently-reading,currently-reading (#3),currently-reading,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2023/01/21,to-read,to-read (#1),to-read,,,,0,0
47668,Ensayo sobre la ceguera,José Saramago,"Saramago, José",,"=""""","=""""",0,4.18,Punto de Lectura,Paperback,329,2006,1995,,2021/08/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
45014445,La idiota,Elif Batuman,"Batuman, Elif",Marta Rebón,"=""8439735855""","=""9788439735854""",0,3.64,Literatura Random House,Paperback,480,2019,2017,,2021/08/08,currently-reading,currently-reading (#1),currently-reading,,,,1,0
55730815,Aquitania,Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",,"=""8408235516""","=""9788408235514""",4,3.79,Planeta,Hardcover,416,2020,2020,2021/08/08,2021/08/08,,,read,,,,1,0
6404125,La soledad de los números primos,Paolo Giordano,"Giordano, Paolo",,"=""""","=""9788498382051""",5,3.65,Salamandra,Paperback,288,2009,2008,2021/08/08,2021/08/08,,,read,Can't believe I have spent so much time without reading this book. Loved it,,,1,0
55884863,"Mujeres del alma mía: Sobre el amor impaciente, la vida larga y las brujas buenas",Isabel Allende,"Allende, Isabel",,"=""""","=""""",3,4.03,Plaza & Janés,Paperback,192,2020,2020,2021/08/08,2021/08/08,,,read,,,,1,0
13418082,El cuaderno de Noah,Nicholas Sparks,"Sparks, Nicholas",,"=""8499183956""","=""9788499183954""",4,4.16,Roca,Paperback,192,2012,1996,2021/08/08,2021/08/08,,,read,,,,1,0
33662956,Tan poca vida,Hanya Yanagihara,"Yanagihara, Hanya",Aurora Echevarría,"=""6073148127""","=""9786073148122""",5,4.27,Lumen,Paperback,1008,2016,2015,2021/08/08,2021/08/08,,,read,Loved it,,,1,0
3421791,Cometas en el cielo,Khaled Hosseini,"Hosseini, Khaled",,"=""8478888853""","=""9788478888856""",5,4.36,Salamandra,Mass Market Paperback,384,2010,2003,2021/08/08,2021/08/08,,,read,Fav book of 2021 so far,,,1,0
52458743,El enigma de la habitación 622,Joël Dicker,"Dicker, Joël","María Teresa Gallego Urrutia, Amaya García Gallego","=""842043938X""","=""9788420439389""",4,3.90,Alfaguara,Paperback,696,2020,2020,2021/08/08,2021/08/08,,,read,,,,1,0
1546885,Un Crimen Argentino,Reynaldo Sietecase,"Sietecase, Reynaldo",,"=""9505117906""","=""9789505117901""",3,3.14,Alfaguara,Paperback,,2002,2002,,2021/08/08,,,read,,,,2,0
40043351,Al final mueren los dos,Adam Silvera,"Silvera, Adam",Antonio Padilla Esteban,"=""8417180559""","=""9788417180553""",3,3.75,Puck,Kindle Edition,384,2018,2017,2021/04/01,2021/08/08,,,read,Easy reading - interesting plot. Kind of predictable ,,,1,0
49360509,Rewind,Juan Tallón,"Tallón, Juan",,"=""8433998927""","=""9788433998927""",4,3.97,Anagrama,Paperback,216,2020,2020,2021/02/01,2021/08/08,,,read,"Good story, I liked the different points of view.",,,1,0
51484920,Almendra,Sohn Won-Pyung,"Won-Pyung, Sohn",Sunme Yoon,"=""8499987915""","=""9788499987910""",5,4.14,Temas de hoy,Paperback,256,2020,2017,2021/03/01,2021/08/08,,,read,Must read,,,1,0
9828718,Vuelo final,Ken Follett,"Follett, Ken",Albert Solé,"=""8497931424""","=""9788497931427""",4,4.01,Debolsillo,Mass Market Paperback,544,2008,2002,2021/02/01,2021/08/08,,,read,,,,1,0
