Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",0,4.59,St. Martin's Press,Hardcover,471,2024,2024,,2024/12/08,to-read,to-read (#11),to-read,,,,0,0
20578145,El Lobo de Wall Street,Jordan Belfort,"Belfort, Jordan",,"=""""","=""""",4,3.75,ALIENTA,Paperback,624,2013,2007,2024/12/07,2024/06/28,,,read,,,,1,0
18040526,El matrimonio de los peces rojos,Guadalupe Nettel,"Nettel, Guadalupe",,"=""8483931443""","=""9788483931448""",0,4.04,Páginas de Espuma,Paperback,128,2013,2013,,2024/11/30,to-read,to-read (#10),to-read,,,,0,0
6600,Los cuatro acuerdos: Una guía practica para la libertad personal,Miguel Ruiz,"Ruiz, Miguel",Luz Hernández,"=""187842484X""","=""9781878424846""",3,4.19,Amber-Allen Publishing,Hardcover,168,2002,1997,2024/11/27,2024/11/22,,,read,,,,1,0
58383320,Os Cem Anos de Lenni e Margot,Marianne Cronin,"Cronin, Marianne",,"=""972236748X""","=""9789722367486""",0,4.28,Editorial Presença,Paperback,336,2021,2021,,2024/11/22,currently-reading,currently-reading (#5),currently-reading,,,,1,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",5,3.93,Harper,Hardcover,368,2020,2018,2024/11/20,2024/11/12,,,read,Amé,,,1,0
48907056,Un cuento perfecto,Elísabet Benavent,"Benavent, Elísabet",,"=""8491291911""","=""9788491291916""",3,4.10,Suma,Paperback,640,2020,2020,2024/11/18,2024/08/04,,,read,,,,1,0
202763126,La felicidad,Gabriel Rolón,"Rolón, Gabriel",,"=""9504982565""","=""9789504982562""",3,3.94,Planeta Argentina,Kindle Edition,299,2023,,2024/10/29,2024/10/13,,,read,,,,1,0
167986,Un año con Schopenhauer,Irvin D. Yalom,"Yalom, Irvin D.",,"=""950042536X""","=""9789500425360""",3,4.28,Emece Editores,Paperback,304,2004,2005,2024/10/01,2024/08/04,,,read,,,,1,0
61088783,El Gran Gastby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Miguel Muñoz,"=""""","=""9798436354385""",2,3.93,,Paperback,,2022,1925,2023/01/18,2023/01/21,,,read,Esperaba otra cosa,,,1,0
1908391,Las mujeres que aman demasiado,Robin Norwood,"Norwood, Robin",,"=""8466301291""","=""9788466301299""",0,4.03,Punto De Lectura,Mass Market Paperback,336,2000,1985,,2024/09/11,to-read,to-read (#9),to-read,,,,0,0
