Etiquetas de fila;Ficción;No Ficción
2023-Q1;601;339
2023-Q2;997;277
2023-Q3;1376;
2023-Q4;1345;
2024-Q1;664;537
2024-Q2;792;885
2024-Q3;1709;
2024-Q4;1120;1459
2025-Q1;1301;
2025-Q2;1516;212
2025-Q3;934;
2025-Q4;1051;
